year,Live births,Date,Live births pct,Live births pct stand
1877,138476,1877-12-31,0.019030097873279805,0.30010731983767225
1878,134464,1878-12-31,-0.028972529535804092,-0.6194932102950073
1879,139043,1879-12-31,0.03405372441694432,0.58791937679718
1880,134262,1880-12-31,-0.03438504635256723,-0.7231823957145854
1881,132804,1881-12-31,-0.010859364526075832,-0.27249395120497866
1882,134300,1882-12-31,0.011264720942140372,0.15134369734469702
1883,132875,1883-12-31,-0.01061057334326132,-0.2677277849353951
1884,138745,1884-12-31,0.04417685794920034,0.7818512398081802
1885,137308,1885-12-31,-0.010357129986666158,-0.2628724955968076
1886,139882,1886-12-31,0.01874617647915633,0.29466815372022453
1887,140169,1887-12-31,0.002051729314708206,-0.025152308019611123
1888,136451,1888-12-31,-0.02652512324408396,-0.5726075241400451
1889,132069,1889-12-31,-0.032114092238239356,-0.6796770561079516
1890,133597,1890-12-31,0.01156970977292171,0.15718645857692887
1891,135516,1891-12-31,0.014364095002133315,0.2107193228570127
1892,129622,1892-12-31,-0.043493019274476796,-0.8976665266777404
1893,131729,1893-12-31,0.016254956720309854,0.24694312001761734
1894,131409,1894-12-31,-0.0024292297064427704,-0.11099536523888034
1895,134599,1895-12-31,0.024275354047287534,0.40059224365637186
1896,134308,1896-12-31,-0.002161977429252837,-0.10587553432444752
1897,132999,1897-12-31,-0.009746254876850213,-0.25116978045073424
1898,136523,1898-12-31,0.026496439822855766,0.44314224074874314
1899,133882,1899-12-31,-0.019344725797118434,-0.43505052663404437
1900,138139,1900-12-31,0.03179665675744303,0.5446800641126012
1901,139370,1901-12-31,0.00891131396636724,0.1062587838857856
1902,137364,1902-12-31,-0.014393341465164688,-0.34019539260665876
1903,133896,1903-12-31,-0.02524678955184767,-0.5481181075285598
1904,134952,1904-12-31,0.007886718049829655,0.08663029688672941
1905,135409,1905-12-31,0.003386389234690812,0.00041616679538582723
1906,136620,1906-12-31,0.00894327555775476,0.10687108154469009
1907,136793,1907-12-31,0.0012662860488947825,-0.04019927695895052
1908,138874,1908-12-31,0.015212766735140049,0.22697757824229864
1909,139505,1909-12-31,0.0045436870832553655,0.022586863953099667
1910,135625,1910-12-31,-0.027812623203469444,-0.5972725416422463
1911,132977,1911-12-31,-0.019524423963133586,-0.438493057546428
1912,132868,1912-12-31,-0.0008196906231904277,-0.08016094899715553
1913,130200,1913-12-31,-0.020080079477376,-0.449137914568812
1914,129458,1914-12-31,-0.005698924731182831,-0.17363387984556503
1915,122997,1915-12-31,-0.04990807829566346,-1.0205617096109836
1916,121679,1916-12-31,-0.010715708513215794,-0.26974189048011427
1917,120855,1917-12-31,-0.006771916271501199,-0.19418949612247588
1918,117955,1918-12-31,-0.023995697323238585,-0.524150563692489
1919,115193,1919-12-31,-0.023415709380696037,-0.5130395631448033
1920,138753,1920-12-31,0.20452631670327182,3.8537132447789304
1921,127723,1921-12-31,-0.07949377671113422,-1.5873436841756488
1922,116946,1922-12-31,-0.08437791157426622,-1.680910500239674
1923,113435,1923-12-31,-0.030022403502471207,-0.6396059563764203
1924,109055,1924-12-31,-0.03861242121038477,-0.8041674661189382
1925,106292,1925-12-31,-0.02533583971390585,-0.5498240678198418
1926,102007,1926-12-31,-0.04031347608474767,-0.8367550774369152
1927,97994,1927-12-31,-0.03934043742096127,-0.8181142879769567
1928,97868,1928-12-31,-0.0012857930077351254,-0.08909021022843341
1929,92861,1929-12-31,-0.05116074712878571,-1.0445594569259966
1930,94220,1930-12-31,0.014634776709275155,0.21590485237529383
1931,91074,1931-12-31,-0.03338993844194438,-0.7041188191659645
1932,89779,1932-12-31,-0.014219206359663561,-0.3368594348898267
1933,85020,1933-12-31,-0.0530079417235656,-1.0799467100890672
1934,85092,1934-12-31,0.0008468595624557818,-0.04823435420574311
1935,85906,1935-12-31,0.009566116673717762,0.11880303300948883
1936,88938,1936-12-31,0.03529439154424607,0.6116872038842651
1937,90373,1937-12-31,0.016134835503384348,0.24464192233892582
1938,93946,1938-12-31,0.03953614464497135,0.6929477225403906
1939,97380,1939-12-31,0.03655291337576916,0.6357970788206768
1940,95778,1940-12-31,-0.016451016635859572,-0.37961488441251323
1941,99727,1941-12-31,0.04123076280565474,0.7254120238307405
1942,113961,1942-12-31,0.14272965194982312,2.6698562616307777
1943,125392,1943-12-31,0.10030624511894426,1.8571385101785334
1944,134991,1944-12-31,0.07655193313768027,1.4020701301761997
1945,135373,1945-12-31,0.0028298182841819397,-0.010246227510296536
1946,132597,1946-12-31,-0.02050630480228699,-0.4573032391749803
1947,128779,1947-12-31,-0.028794014947547852,-0.6160733535317963
1948,126683,1948-12-31,-0.01627594561225043,-0.3762609970356866
1949,121272,1949-12-31,-0.04271291333485949,-0.8827218064748631
1950,115414,1950-12-31,-0.04830463750907055,-0.9898441202419449
1951,110168,1951-12-31,-0.045453757776352965,-0.9352289740498537
