,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_unknown[23],-0.045,0.02,-0.085,-0.009,0.001,0.001,438.0,662.0,1.01
beta_unknown[24],-0.043,0.02,-0.08,-0.006,0.001,0.001,481.0,529.0,1.01
beta_unknown[25],-0.04,0.019,-0.075,-0.003,0.001,0.001,479.0,757.0,1.01
beta_unknown[26],-0.038,0.019,-0.078,-0.006,0.001,0.001,459.0,549.0,1.01
beta_unknown[27],-0.037,0.018,-0.071,-0.003,0.001,0.001,446.0,568.0,1.01
beta_unknown[28],-0.036,0.018,-0.068,-0.001,0.001,0.001,420.0,660.0,1.01
beta_unknown[29],-0.035,0.018,-0.067,-0.001,0.001,0.001,400.0,595.0,1.01
beta_unknown[30],-0.034,0.017,-0.066,-0.001,0.001,0.001,395.0,621.0,1.01
beta_unknown[31],-0.033,0.018,-0.067,-0.002,0.001,0.001,389.0,596.0,1.01
beta_unknown[32],-0.032,0.018,-0.065,0.002,0.001,0.001,372.0,458.0,1.01
beta_unknown[33],-0.032,0.018,-0.065,0.003,0.001,0.001,363.0,490.0,1.01
beta_unknown[34],-0.033,0.019,-0.07,0.001,0.001,0.001,368.0,513.0,1.01
beta_unknown[35],-0.035,0.019,-0.07,0.003,0.001,0.001,374.0,543.0,1.01
beta_unknown[36],-0.037,0.02,-0.072,0.001,0.001,0.001,374.0,473.0,1.01
beta_unknown[37],-0.039,0.02,-0.073,0.002,0.001,0.001,375.0,605.0,1.01
beta_unknown[38],-0.04,0.02,-0.078,-0.001,0.001,0.001,411.0,720.0,1.01
beta_unknown[39],-0.041,0.021,-0.081,-0.003,0.001,0.001,430.0,572.0,1.01
beta_unknown[40],-0.04,0.021,-0.082,-0.001,0.001,0.001,463.0,745.0,1.01
beta_unknown[41],-0.04,0.022,-0.076,0.004,0.001,0.001,498.0,711.0,1.01
beta_unknown[42],-0.04,0.022,-0.081,0.002,0.001,0.001,511.0,829.0,1.01
beta_unknown[43],-0.04,0.022,-0.083,-0.0,0.001,0.001,553.0,828.0,1.01
beta_unknown[44],-0.041,0.023,-0.086,-0.0,0.001,0.001,590.0,931.0,1.01
beta_unknown[45],-0.041,0.023,-0.083,0.003,0.001,0.001,603.0,903.0,1.01
beta_unknown[46],-0.041,0.024,-0.086,0.003,0.001,0.001,642.0,922.0,1.01
beta_unknown[47],-0.04,0.024,-0.084,0.007,0.001,0.001,685.0,958.0,1.01
β_fourier[0],0.048,0.007,0.035,0.062,0.0,0.0,1958.0,1375.0,1.0
β_fourier[1],-0.079,0.007,-0.094,-0.066,0.0,0.0,2148.0,1711.0,1.0
β_fourier[2],0.012,0.043,-0.071,0.095,0.001,0.001,2497.0,1723.0,1.0
β_fourier[3],-0.011,0.044,-0.09,0.076,0.001,0.001,2437.0,1693.0,1.0
β_fourier[4],0.054,0.046,-0.032,0.144,0.001,0.001,2299.0,1535.0,1.0
β_fourier[5],-0.005,0.044,-0.087,0.078,0.001,0.001,2402.0,1515.0,1.0
